N,b_rms_0,b_rms_2,b_rms_8
100.0,0.15275252316519466,0.27244657149886836,0.9152235514582258
102.33717986325202,0.15099816523043497,0.26720060493473974,0.8946127228558108
104.72898382363586,0.14926395604149947,0.26207085134936586,0.8744725092501894
107.17668854455034,0.14754966419067458,0.2570546134616362,0.8547921605799077
109.68160052731379,0.14585506092795736,0.25214925571762603,0.8355611722481915
112.2450568085307,0.14417992013053105,0.24735220290281595,0.8167692795161425
114.86842567375535,0.14252401827259276,0.24266093878625472,0.7984064520239851
117.55310738783699,0.14088713439552608,0.23807300479590449,0.780462888437411
120.30053494233242,0.13926905007841767,0.23358599872443825,0.7629290112161944
123.11217482038909,0.13766954940891127,0.229197573464761,0.7457954615022555
125.98952777950272,0.1360884189543975,0.22490543577455535,0.7290530941244732
128.93412965257158,0.13452544773353356,0.2207073450691547,0.7126929727175538
131.9475521676706,0.132980427188091,0.21660111224207482,0.6967063649523769
135.03140378698737,0.1314531511551258,0.2125845985125364,0.681084737875248
138.18733056536323,0.12994341583946914,0.20865571429933905,0.6658197533535938
141.4170170289024,0.12845101978653314,0.20481241812044815,0.6509032636256478
144.72218707411344,0.12697576385542966,0.20105271551768208,0.6363273069517734
148.10460488806754,0.1255174511923973,0.19737465800589035,0.6220841033650815
151.5660758900603,0.12407588720453407,0.19377634204603622,0.6081660505190953
155.10844769528404,0.12265087953383116,0.19025590804160133,0.5945657196302296
158.73361110102087,0.12124223803150569,0.18681153935775247,0.581275851512933
162.44350109588672,0.11984977473262734,0.18344146136271341,0.5682893527053655
166.2400978926612,0.11847330383103735,0.18014394049080734,0.5555992916835562
170.1254279852589,0.11711264165455465,0.176917283326638,0.5431988951620066
174.10156523040155,0.11576760664046759,0.17375983570989928,0.531081544478782
178.17063195457308,0.11443801931130639,0.17066998186030613,0.5192407720631457
182.33480008684404,0.11312370225089458,0.16764614352215967,0.5076702579838661
186.5962923181746,0.11182448008067465,0.16468677912806287,0.49636382657634087
190.95738328780968,0.1105401794363066,0.16179038298132328,0.48531544314675296
195.42040079740534,0.10927062894453421,0.15895548445658145,0.4745192107514857
199.9877270535287,0.10801565920031786,0.15618064721822353,0.46396936705009184
204.66179993919897,0.10677510274422948,0.15346446845614006,0.4536602812301275
209.44511431514687,0.10554879404010722,0.15080557813840856,0.44358645100221417
214.34022335148566,0.10433656945296683,0.1482026382804861,0.4337424996637281
219.34973989050602,0.10313826722716682,0.14565434223050944,0.42412317322954757
224.4763378413224,0.10195372746482416,0.1431594139703084,0.41472333762832725
229.72275360711512,0.10078279210447791,0.14071660743175088,0.4055379759628037
235.0917875457287,0.09962530489999802,0.1383247058280471,0.3965621858326746
240.58630546440668,0.09848111139973648,0.1359825209996494,0.3877911767186199
246.20924014946254,0.09735005892591755,0.13368889277439372,0.3792202674260689
251.9635929317016,0.09623199655426487,0.13144268834153947,0.3708448835873518
257.8524352884274,0.0951267750938628,0.1292428016393734,0.36266055522090546
263.87891048289345,0.09403424706724853,0.12708815275605023,0.35466291434622454
270.04623524206824,0.09295426669073344,0.12497768734335522,0.346847692653296
276.35770147361603,0.09188668985494984,0.12291037604307868,0.33921071922526275
282.81667802300325,0.09083137410562178,0.1208852139257051,0.33174791831311395
289.4266124716752,0.089788178624556,0.11890121994112333,0.3244553071612029
296.19103297725536,0.08875696421085198,0.11695743638107785,0.3173289938824454
303.1135501567579,0.08773759326232698,0.1150529283530834,0.3103651753820537
310.1978590138097,0.08672992975715517,0.1131867832655388,0.30356013532871007
317.4477409109193,0.085733839235717,0.11135811032377821,0.2969102421720875
