x_lambda_over_NA,PSF_1,PSF_2,sum
-1.4,0.0015003580019397201,0.012415328316416114,0.013915686318355833
-1.39825,0.0015080902922563083,0.01256962873707614,0.014077719029332449
-1.3964999999999999,0.0015154980054638242,0.012722715911821792,0.014238213917285619
-1.39475,0.0015225767695666295,0.012874521004352033,0.014397097773918663
-1.393,0.0015293223488563443,0.013024975094742925,0.01455429744359927
-1.3912499999999999,0.001535730646686139,0.013174009209243808,0.014709739855929948
-1.3895,0.001541797708195603,0.01332155435043453,0.014863352058630134
-1.3877499999999998,0.0015475197229846424,0.013467541527735974,0.015015061250720618
-1.386,0.0015528930277348898,0.01361190178826632,0.01516479481600121
-1.38425,0.0015579141087771556,0.01375456624803576,0.015312480356812916
-1.3824999999999998,0.0015625796046034215,0.01389546612347111,0.015458045728074533
-1.38075,0.0015668863083219318,0.014034532763262752,0.015601419071584681
-1.379,0.00157083117005394,0.014171697680525596,0.015742528850579536
-1.3772499999999999,0.0015744112992706787,0.014306892585265385,0.015881303884536065
-1.3755,0.0015776239670691526,0.014440049417142015,0.016017673384211166
-1.3737499999999998,0.0015804666083853948,0.014571100378521067,0.016151566986906462
-1.3719999999999999,0.0015829368241437845,0.014699977967804497,0.01628291479194828
-1.37025,0.001585032383341113,0.01482661501303158,0.016411647396372693
-1.3684999999999998,0.0015867512250640897,0.01495094470574076,0.01653769593080485
-1.36675,0.0015880914604389645,0.015072900635082834,0.016660992095521795
-1.365,0.0015890513745120145,0.015192416822176456,0.01678146819668847
-1.3632499999999999,0.0015896294280596576,0.015309427754695428,0.016899057182755087
-1.3615,0.001589824259326948,0.015423868421678632,0.01701369268100558
-1.35975,0.0015896346856932857,0.015535674348552062,0.017125309034245344
-1.3579999999999999,0.0015890597052641525,0.01564478163235317,0.01723384133761732
-1.35625,0.0015880984983877428,0.01575112697714692,0.017339225475534664
-1.3544999999999998,0.0015867504290953877,0.01585464772962305,0.017441398158718435
-1.35275,0.0015850150464646513,0.015955281914864342,0.017540296961328992
-1.351,0.0015828920859041044,0.016052968272274558,0.01763586035817866
-1.3492499999999998,0.0015803814703586826,0.016147646291655673,0.017728027762014358
-1.3475,0.0015774833114346933,0.01623925624942307,0.017816739560857765
-1.34575,0.0015741979104434744,0.01632773924494766,0.017901937155391134
-1.3439999999999999,0.0015705257593627783,0.01641303723701367,0.017983562996376448
-1.34225,0.001566467541715006,0.01649509308038066,0.018061560622095667
-1.3405,0.0015620241333613783,0.016573850562438153,0.018135874695799532
-1.3387499999999999,0.0015571966032112555,0.016649254439941516,0.018206451043152775
-1.337,0.001551986213845799,0.016721250475817035,0.018273236689662836
-1.3352499999999998,0.0015463944220551699,0.016789785476024433,0.0183361798980796
-1.3335,0.0015404228792886062,0.016854807326464872,0.01839523020575348
-1.33175,0.0015340734320166145,0.016916265029922422,0.018450338461939036
-1.3299999999999998,0.0015273481220046637,0.01697410874302665,0.018501456865031313
-1.32825,0.0015202491864977422,0.017028289813224035,0.018548538999721774
-1.3265,0.001512779058315203,0.017078760815746257,0.01859153987406146
-1.3247499999999999,0.0015049403658553286,0.017125475590562197,0.018630415956417526
-1.323,0.0014967359330091536,0.01716838927930165,0.018665125212310802
-1.32125,0.001488168778983007,0.017207458362137946,0.018695627141120955
-1.3195,0.0014792421180293955,0.017242640694616566,0.01872188281264596
-1.31775,0.0014699593590858512,0.01727389554441733,0.018743854903503183
-1.3159999999999998,0.001460324105321286,0.017301183628036988,0.018761507733358274
-1.31425,0.001450340153589701,0.017324467147379306,0.018774807300969008
-1.3125,0.0014400114937908038,0.017343709826239805,0.01878372132003061
-1.3107499999999999,0.001429342308137471,0.017358876946671955,0.018788219254809425
-1.309,0.001418336970329703,0.01736993538522181,0.01878827235555151
-1.30725,0.0014070000446350735,0.01737685364901759,0.018783853693652663
-1.3054999999999999,0.0013953362848754228,0.017379601911701636,0.018774938196577058
-1.30375,0.0013833506333198679,0.01737815204919068,0.018761502682510547
-1.3019999999999998,0.001371048219483961,0.017372477675251758,0.01874352589473572
-1.30025,0.001358434358835168,0.017362554176880048,0.018720988535715213
-1.2985,0.0013455145514045686,0.017348358749465442,0.01869387330087001
-1.2967499999999998,0.001332294480305012,0.01732987043173427,0.018662164912039283
-1.295,0.0013187800101558285,0.017307070140453094,0.018625850150608924
