x_over_sigma,two_source_signal,single_gaussian_fit,residual
-7.0,6.697688027970386e-10,8.731182460388675e-09,-8.061413657591638e-09
-6.979971387696709,7.627546504863531e-10,9.739689922808965e-09,-8.976935272322612e-09
-6.9599427753934195,8.683019180004269e-10,1.0861284113548917e-08,-9.992982195548491e-09
-6.939914163090129,9.880583810237223e-10,1.210824485493907e-08,-1.1120186473915347e-08
-6.919885550786838,1.123881197436573e-09,1.3494139394351809e-08,-1.2370258196915236e-08
-6.8998569384835475,1.2778626050790473e-09,1.503395224339925e-08,-1.3756089638320204e-08
-6.879828326180258,1.4523586548689066e-09,1.6744227555283937e-08,-1.529186890041503e-08
-6.859799713876967,1.650021322773786e-09,1.864322519266998e-08,-1.6993203869896197e-08
-6.839771101573676,1.8738343811638956e-09,2.075109173842523e-08,-1.8877257357261335e-08
-6.819742489270387,2.1271534508699644e-09,2.309004780966759e-08,-2.0962894358797624e-08
-6.799713876967096,2.4137507002001737e-09,2.568459315232198e-08,-2.3270842452121805e-08
-6.779685264663805,2.7378647066197574e-09,2.8561731119499575e-08,-2.5823866412879818e-08
-6.759656652360515,3.104256051193285e-09,3.175121427314634e-08,-2.8646958221953054e-08
-6.739628040057225,3.5182692756910547e-09,3.528581299526752e-08,-3.1767543719576465e-08
-6.719599427753934,3.9859018979698335e-09,3.9201609153421576e-08,-3.521570725545174e-08
-6.6995708154506435,4.513881253393923e-09,4.353831703589886e-08,-3.9024435782504934e-08
-6.679542203147354,5.109750009255727e-09,4.8339633955918755e-08,-4.322988394666303e-08
-6.659513590844063,5.7819612860183664e-09,5.3653623122243385e-08,-4.787166183622502e-08
-6.639484978540772,6.539984414426911e-09,5.953313158677493e-08,-5.299314717234802e-08
-6.619456366237483,7.394422461863591e-09,6.60362463090337e-08,-5.864182384717011e-08
-6.599427753934192,8.357142775557879e-09,7.322679162400329e-08,-6.48696488484454e-08
-6.579399141630901,9.441421915273366e-09,8.117487166483273e-08,-7.173344974955936e-08
-6.5593705293276106,1.0662106484818968e-08,8.995746157657098e-08,-7.929535509175201e-08
-6.539341917024321,1.2035791521173986e-08,9.96590516627407e-08,-8.762326014156671e-08
-6.51931330472103,1.358101826327058e-08,1.1037234893454766e-07,-9.679133067127708e-08
-6.499284692417739,1.531849330070367e-08,1.2219904088429523e-07,-1.0688054758359155e-07
-6.47925608011445,1.727133129710583e-08,1.3525062668171384e-07,-1.1797929538460801e-07
-6.459227467811159,1.9465323694969982e-08,1.4964932139596743e-07,-1.3018399770099744e-07
-6.439198855507868,2.192923603979162e-08,1.655290392788285e-07,-1.435998032390369e-07
-6.419170243204578,2.4695136813080287e-08,1.8303646260769265e-07,-1.5834132579461237e-07
-6.399141630901288,2.7798760937727484e-08,2.02332203082594e-07,-1.7453344214486652e-07
-6.379113018597997,3.127991141720599e-08,2.2359206330119668e-07,-1.923121518839907e-07
-6.3590844062947065,3.51829028940116e-08,2.470084064018985e-07,-2.1182550350788694e-07
-6.339055793991417,3.955705126470524e-08,2.727916425699603e-07,-2.3323459130525504e-07
-6.319027181688126,4.445721387103169e-08,3.0117184174712075e-07,-2.5671462787608907e-07
-6.298998569384835,4.994438520121606e-08,3.3240048257393045e-07,-2.824560973727144e-07
-6.278969957081545,5.6086353485168204e-08,3.667523483285891e-07,-3.1066599484342087e-07
-6.258941344778255,6.29584240545666e-08,4.0452758140880647e-07,-3.415691573542399e-07
-6.238912732474964,7.064421586649725e-08,4.4605390873710834e-07,-3.754096928706111e-07
-6.218884120171674,7.92365381604457e-08,4.916890513576079e-07,-4.1245251319716214e-07
-6.198855507868384,8.88383548361906e-08,5.418233324368684e-07,-4.5298497760067783e-07
-6.178826895565093,9.956384480785494e-08,5.968824988856612e-07,-4.973186540778063e-07
-6.1587982832618025,1.1153956731063197e-07,6.573307728860042e-07,-5.457912055753722e-07
-6.138769670958512,1.2490574191530789e-07,7.23674150741385e-07,-5.987684088260771e-07
-6.118741058655222,1.3981765384558735e-07,7.96463967671768e-07,-6.566463138261807e-07
-6.098712446351931,1.5644719609871488e-07,8.763007484516212e-07,-7.198535523529063e-07
-6.078683834048641,1.7498456084530375e-07,9.638383651429945e-07,-7.888538042976908e-07
-6.058655221745351,1.9564009363446864e-07,1.05978852461023e-06,-8.641484309757612e-07
-6.03862660944206,2.186463250601247e-07,1.1649256100219009e-06,-9.462792849617762e-07
-6.0185979971387695,2.4426019575893677e-07,1.2800919021533234e-06,-1.0358317063943867e-06
-5.998569384835479,2.7276549191535455e-07,1.4062032080035304e-06,-1.1334377160881757e-06
-5.978540772532189,3.044755098500759e-07,1.5442549260379555e-06,-1.2397794161878796e-06
-5.958512160228898,3.397359697712725e-07,1.6953285792668487e-06,-1.3555926094955763e-06
-5.938483547925608,3.789282003791471e-07,1.8605988493737778e-06,-1.4816706489946307e-06
-5.918454935622318,4.2247261774051555e-07,2.0413411472233297e-06,-1.6188685294828142e-06
-5.898426323319027,4.708325236978922e-07,2.2389397573065027e-06,-1.7681072336086105e-06
-5.878397711015737,5.245182510540988e-07,2.454896596030989e-06,-1.9303783449768903e-06
-5.858369098712446,5.840916848862931e-07,2.6908406262369726e-06,-2.1067489413506793e-06
-5.838340486409156,6.501711915999219e-07,2.948537972920818e-06,-2.298366781320896e-06
