x_lambda_over_NA,PSF_1,PSF_2,sum
-1.4,0.000543886238223865,0.00014052842607870986,0.0006844146643025748
-1.39825,0.0005256027695893186,0.00016497896981748544,0.000690581739406804
-1.3964999999999999,0.0005074518136469733,0.0001914782781708475,0.0006989300918178208
-1.39475,0.0004894444835246617,0.00022004258440550068,0.0007094870679301624
-1.393,0.00047159189927974506,0.000250687381564722,0.0007222792808444672
-1.3912499999999999,0.00045390518276126955,0.0002834274089733869,0.0007373325917346565
-1.3895,0.00043639545244019985,0.00031827663894491346,0.0007546720913851134
-1.3877499999999998,0.0004190738182098592,0.0003552482636973687,0.0007743220819072279
-1.386,0.000401951376158898,0.0003943546824859268,0.0007963060586448248
-1.38425,0.00038503920331883567,0.00043560748895900953,0.0008206466922778453
-1.3824999999999998,0.00036834835238859476,0.0004790174587451554,0.0008473658111337502
-1.38075,0.00035188984643810936,0.0005245945372778936,0.0008764843837160028
-1.379,0.0003356746735934778,0.0005723478278656658,0.0009080225014591436
-1.3772499999999999,0.00031971378170578507,0.0006222855800139503,0.0009419993617197353
-1.3755,0.0003040180730061013,0.0006744151780065169,0.0009784332510126181
-1.3737499999999998,0.00028859839874883353,0.0007287431297530005,0.001017341528501834
-1.3719999999999999,0.0002734655538459656,0.0007852750559095311,0.0010587406097554966
-1.37025,0.00025863027149441395,0.000844015679279505,0.001102645950773919
-1.3684999999999998,0.00024410321779902653,0.0009049688145012784,0.0011490720323003051
-1.36675,0.00022989498639359817,0.0009681373580295188,0.001198032344423117
-1.365,0.00021601609306228653,0.0010335232784171456,0.0012495393714794323
-1.3632499999999999,0.00020247697036397284,0.0011011276069043247,0.0013036045772682977
-1.3615,0.00018928796226197735,0.001170950428321234,0.0013602383905832113
-1.35975,0.00017645931876156403,0.0012429908723112467,0.0014194501910728106
-1.3579999999999999,0.00016400119055783,0.0013172471048808183,0.0014812482954386483
-1.35625,0.00015192362369633984,0.0013937163202825925,0.0015456399439789323
-1.3544999999999998,0.00014023655424914424,0.0014723947332381726,0.001612631287487317
-1.35275,0.0001289498030085659,0.0015532775715065064,0.0016822273745150723
-1.351,0.00011807307020139807,0.0016363590688044654,0.0017544321390058635
-1.3492499999999998,0.00010761593022591868,0.001721632458085339,0.0018292483883112578
-1.3475,9.758782641437014e-05,0.001809089965181431,0.0019066777915958011
