frame,x_px,y_px,x_error_px,y_error_px
0.0,43.96262458471761,40.02242524916944,0.46262458471760937,0.5224252491694372
1.0,43.49518161601186,39.62861378799111,-0.004818383988137498,0.12861378799110668
2.0,43.34395848776872,39.29280948851001,-0.15604151223128326,-0.20719051148999057
3.0,42.991721854304636,39.5182119205298,-0.508278145695364,0.018211920529800807
4.0,35.29297820823245,38.73284907183212,-0.2070217917675521,-0.7671509281678794
5.0,35.94522575869726,39.49148778682457,0.4452257586972621,-0.00851221317542894
6.0,43.622608695652175,40.19652173913043,0.12260869565217547,0.6965217391304321
7.0,35.51939291736931,40.435919055649244,0.01939291736930926,0.9359190556492436
8.0,35.94501992031873,39.24701195219124,0.44501992031872817,-0.2529880478087634
9.0,43.33639398998331,39.47996661101836,-0.16360601001669295,-0.020033388981637756
10.0,43.33884297520661,39.38429752066116,-0.16115702479338978,-0.11570247933884303
11.0,43.60340632603406,39.58150851581509,0.10340632603406164,0.08150851581508789
12.0,35.274734982332156,39.773851590106005,-0.22526501766784435,0.27385159010600546
13.0,43.47840260798696,39.51181744091279,-0.021597392013042338,0.011817440912793131
14.0,43.378763866877975,39.61648177496038,-0.12123613312202508,0.11648177496037704
15.0,43.19453376205788,39.65514469453376,-0.30546623794212024,0.15514469453376023
16.0,43.00153139356815,39.84532924961715,-0.49846860643184954,0.3453292496171514
17.0,43.25275532696546,39.41880969875092,-0.2472446730345368,-0.08119030124908022
18.0,35.59965635738832,39.57560137457045,0.09965635738831935,0.07560137457044647
19.0,35.55087440381558,39.63831478537361,0.05087440381557684,0.13831478537360908
20.0,36.11286503551697,39.34648776637727,0.6128650355169682,-0.15351223362272748
21.0,35.8448275862069,39.87586206896552,0.3448275862068968,0.37586206896551744
22.0,43.60539215686274,39.28921568627451,0.10539215686274161,-0.21078431372549034
23.0,43.597110754414125,39.43980738362761,0.09711075441412476,-0.06019261637239026
24.0,43.30690537084399,38.94458653026428,-0.1930946291560076,-0.5554134697357185
25.0,35.48299319727891,39.279761904761905,-0.017006802721091674,-0.2202380952380949
26.0,35.14657980456026,39.557003257328994,-0.3534201954397389,0.057003257328993584
27.0,35.50679117147708,39.21307300509338,0.006791171477082969,-0.2869269949066222
28.0,43.444821731748725,39.264855687606115,-0.05517826825127514,-0.235144312393885
29.0,35.29991431019709,39.63410454155955,-0.2000856898029113,0.13410454155955165
30.0,35.25480367585631,39.85964912280702,-0.2451963241436914,0.35964912280702066
31.0,35.10978520286396,39.921241050119335,-0.39021479713603924,0.42124105011933466
32.0,44.10787671232877,39.5958904109589,0.6078767123287676,0.09589041095890138
33.0,36.23083475298126,39.86456558773424,0.7308347529812593,0.36456558773424064
34.0,34.58532695374801,40.177830940988834,-0.9146730462519912,0.6778309409888337
35.0,43.51141924959217,39.67373572593801,0.011419249592172775,0.173735725938009
36.0,43.46603611349957,39.52794496990542,-0.03396388650043036,0.027944969905419725
37.0,35.06470106470106,39.944307944307944,-0.43529893529893826,0.44430794430794407
38.0,43.401898734177216,38.7998417721519,-0.098101265822784,-0.7001582278480996
39.0,35.79347826086956,39.83115942028986,0.29347826086956275,0.33115942028985756
40.0,43.76705882352941,39.72392156862745,0.26705882352941046,0.22392156862745338
41.0,43.4809041309431,39.27045985970382,-0.01909586905689764,-0.22954014029618008
42.0,35.644268774703555,39.804743083003956,0.14426877470355493,0.3047430830039559
43.0,35.78861788617886,39.47073170731707,0.2886178861788622,-0.02926829268292863
44.0,35.73522064945878,39.99750208159867,0.23522064945878185,0.49750208159866816
45.0,35.56507936507936,39.673809523809524,0.06507936507936307,0.17380952380952408
46.0,35.46507515473033,39.54641909814324,-0.03492484526967132,0.04641909814323952
47.0,35.32266009852217,39.354679802955665,-0.1773399014778292,-0.14532019704433452
48.0,35.73222748815166,40.16745655608215,0.23222748815165772,0.6674565560821506
49.0,43.67086614173228,39.51732283464567,0.17086614173228298,0.017322834645668195
50.0,43.76833976833977,39.296525096525095,0.26833976833977147,-0.2034749034749055
51.0,43.58267716535433,39.114960629921256,0.08267716535433323,-0.38503937007874356
52.0,43.94294525828836,38.84271395528142,0.4429452582883613,-0.6572860447185818
53.0,43.64017094017094,39.54102564102564,0.14017094017093967,0.04102564102564088
54.0,35.255547054322875,40.08645753634277,-0.24445294567712494,0.5864575363427704
55.0,43.43730886850153,39.34862385321101,-0.06269113149846817,-0.1513761467889907
56.0,43.3235294117647,39.67142857142857,-0.17647058823529704,0.17142857142857082
57.0,35.46347607052897,39.37615449202351,-0.03652392947103067,-0.12384550797649041
58.0,35.60965954077593,39.88519398258116,0.10965954077592954,0.385193982581157
59.0,35.790718038528894,39.31523642732049,0.2907180385288939,-0.1847635726795076
60.0,43.63324764353042,39.49785775492716,0.1332476435304173,-0.0021422450728394438
61.0,35.12256973795435,39.46576500422654,-0.37743026204564956,-0.034234995773459787
62.0,43.41983594332588,40.3117076808352,-0.0801640566741213,0.8117076808351982
63.0,35.35970024979184,39.18984179850125,-0.14029975020815755,-0.3101582014987514
64.0,44.00367107195301,39.76505139500734,0.5036710719530078,0.2650513950073403
65.0,43.10468521229868,39.55270863836017,-0.39531478770131656,0.0527086383601727
66.0,35.7212389380531,39.809734513274336,0.2212389380530979,0.30973451327433565
67.0,35.134126984126986,39.46904761904762,-0.3658730158730137,-0.030952380952378178
68.0,36.06437768240343,39.380257510729614,0.5643776824034319,-0.11974248927038644
69.0,43.25870253164557,39.574367088607595,-0.241297468354432,0.07436708860759467
70.0,43.05329949238579,39.34940778341794,-0.4467005076142101,-0.15059221658206212
71.0,35.45987654320987,39.56558641975309,-0.040123456790126966,0.06558641975308888
72.0,43.00261324041812,40.208188153310104,-0.49738675958187883,0.708188153310104
73.0,43.47034596375618,39.23558484349259,-0.02965403624381935,-0.2644151565074111
74.0,43.39869281045752,39.564542483660134,-0.10130718954248152,0.0645424836601336
75.0,35.63628762541806,39.58862876254181,0.13628762541806339,0.08862876254180918
