frame,emitter_id,x_px,y_px
71.0,0.0,35.5,39.5
72.0,1.0,43.5,39.5
73.0,1.0,43.5,39.5
74.0,1.0,43.5,39.5
75.0,0.0,35.5,39.5
76.0,0.0,35.5,39.5
77.0,0.0,35.5,39.5
78.0,1.0,43.5,39.5
79.0,0.0,35.5,39.5
80.0,1.0,43.5,39.5
81.0,1.0,43.5,39.5
82.0,1.0,43.5,39.5
83.0,0.0,35.5,39.5
84.0,0.0,35.5,39.5
85.0,1.0,43.5,39.5
86.0,1.0,43.5,39.5
87.0,0.0,35.5,39.5
88.0,1.0,43.5,39.5
89.0,0.0,35.5,39.5
90.0,0.0,35.5,39.5
91.0,1.0,43.5,39.5
92.0,0.0,35.5,39.5
93.0,0.0,35.5,39.5
94.0,0.0,35.5,39.5
95.0,0.0,35.5,39.5
96.0,0.0,35.5,39.5
97.0,0.0,35.5,39.5
98.0,0.0,35.5,39.5
99.0,1.0,43.5,39.5
100.0,0.0,35.5,39.5
101.0,0.0,35.5,39.5
102.0,0.0,35.5,39.5
103.0,0.0,35.5,39.5
104.0,0.0,35.5,39.5
105.0,1.0,43.5,39.5
106.0,0.0,35.5,39.5
107.0,1.0,43.5,39.5
108.0,1.0,43.5,39.5
109.0,0.0,35.5,39.5
110.0,0.0,35.5,39.5
111.0,1.0,43.5,39.5
112.0,1.0,43.5,39.5
113.0,1.0,43.5,39.5
114.0,1.0,43.5,39.5
115.0,1.0,43.5,39.5
116.0,1.0,43.5,39.5
117.0,0.0,35.5,39.5
118.0,1.0,43.5,39.5
119.0,0.0,35.5,39.5
120.0,0.0,35.5,39.5
121.0,0.0,35.5,39.5
122.0,0.0,35.5,39.5
123.0,0.0,35.5,39.5
124.0,1.0,43.5,39.5
125.0,0.0,35.5,39.5
126.0,0.0,35.5,39.5
127.0,1.0,43.5,39.5
128.0,0.0,35.5,39.5
129.0,0.0,35.5,39.5
130.0,0.0,35.5,39.5
131.0,0.0,35.5,39.5
132.0,1.0,43.5,39.5
133.0,0.0,35.5,39.5
134.0,1.0,43.5,39.5
135.0,0.0,35.5,39.5
136.0,1.0,43.5,39.5
137.0,0.0,35.5,39.5
138.0,0.0,35.5,39.5
139.0,0.0,35.5,39.5
140.0,1.0,43.5,39.5
141.0,1.0,43.5,39.5
142.0,1.0,43.5,39.5
143.0,1.0,43.5,39.5
144.0,0.0,35.5,39.5
145.0,1.0,43.5,39.5
146.0,0.0,35.5,39.5
147.0,0.0,35.5,39.5
148.0,1.0,43.5,39.5
149.0,0.0,35.5,39.5
150.0,0.0,35.5,39.5
151.0,0.0,35.5,39.5
152.0,1.0,43.5,39.5
153.0,1.0,43.5,39.5
154.0,1.0,43.5,39.5
155.0,1.0,43.5,39.5
156.0,1.0,43.5,39.5
157.0,0.0,35.5,39.5
158.0,0.0,35.5,39.5
159.0,1.0,43.5,39.5
160.0,1.0,43.5,39.5
161.0,0.0,35.5,39.5
162.0,0.0,35.5,39.5
163.0,1.0,43.5,39.5
164.0,1.0,43.5,39.5
165.0,0.0,35.5,39.5
166.0,0.0,35.5,39.5
167.0,0.0,35.5,39.5
168.0,1.0,43.5,39.5
169.0,1.0,43.5,39.5
170.0,0.0,35.5,39.5
171.0,1.0,43.5,39.5
172.0,1.0,43.5,39.5
173.0,0.0,35.5,39.5
174.0,1.0,43.5,39.5
175.0,1.0,43.5,39.5
176.0,0.0,35.5,39.5
177.0,1.0,43.5,39.5
178.0,1.0,43.5,39.5
179.0,1.0,43.5,39.5
180.0,0.0,35.5,39.5
181.0,1.0,43.5,39.5
182.0,1.0,43.5,39.5
183.0,1.0,43.5,39.5
184.0,0.0,35.5,39.5
185.0,0.0,35.5,39.5
186.0,1.0,43.5,39.5
187.0,1.0,43.5,39.5
188.0,0.0,35.5,39.5
189.0,0.0,35.5,39.5
190.0,1.0,43.5,39.5
191.0,0.0,35.5,39.5
192.0,1.0,43.5,39.5
193.0,0.0,35.5,39.5
194.0,0.0,35.5,39.5
195.0,0.0,35.5,39.5
196.0,0.0,35.5,39.5
197.0,1.0,43.5,39.5
198.0,0.0,35.5,39.5
199.0,1.0,43.5,39.5
200.0,1.0,43.5,39.5
201.0,0.0,35.5,39.5
202.0,1.0,43.5,39.5
203.0,1.0,43.5,39.5
204.0,0.0,35.5,39.5
205.0,1.0,43.5,39.5
206.0,1.0,43.5,39.5
207.0,0.0,35.5,39.5
208.0,1.0,43.5,39.5
209.0,0.0,35.5,39.5
210.0,1.0,43.5,39.5
211.0,0.0,35.5,39.5
212.0,0.0,35.5,39.5
213.0,1.0,43.5,39.5
214.0,1.0,43.5,39.5
215.0,0.0,35.5,39.5
216.0,0.0,35.5,39.5
217.0,0.0,35.5,39.5
218.0,0.0,35.5,39.5
219.0,1.0,43.5,39.5
220.0,0.0,35.5,39.5
221.0,1.0,43.5,39.5
222.0,1.0,43.5,39.5
223.0,1.0,43.5,39.5
224.0,0.0,35.5,39.5
225.0,0.0,35.5,39.5
226.0,0.0,35.5,39.5
227.0,0.0,35.5,39.5
228.0,1.0,43.5,39.5
229.0,0.0,35.5,39.5
230.0,0.0,35.5,39.5
231.0,0.0,35.5,39.5
232.0,1.0,43.5,39.5
233.0,0.0,35.5,39.5
234.0,1.0,43.5,39.5
235.0,0.0,35.5,39.5
236.0,1.0,43.5,39.5
237.0,0.0,35.5,39.5
238.0,1.0,43.5,39.5
239.0,1.0,43.5,39.5
240.0,1.0,43.5,39.5
241.0,0.0,35.5,39.5
242.0,1.0,43.5,39.5
243.0,0.0,35.5,39.5
244.0,0.0,35.5,39.5
245.0,1.0,43.5,39.5
246.0,0.0,35.5,39.5
247.0,1.0,43.5,39.5
248.0,1.0,43.5,39.5
249.0,0.0,35.5,39.5
250.0,0.0,35.5,39.5
251.0,0.0,35.5,39.5
252.0,0.0,35.5,39.5
253.0,1.0,43.5,39.5
254.0,0.0,35.5,39.5
255.0,0.0,35.5,39.5
256.0,1.0,43.5,39.5
257.0,0.0,35.5,39.5
258.0,1.0,43.5,39.5
259.0,1.0,43.5,39.5
260.0,0.0,35.5,39.5
261.0,1.0,43.5,39.5
262.0,1.0,43.5,39.5
263.0,1.0,43.5,39.5
264.0,0.0,35.5,39.5
265.0,0.0,35.5,39.5
266.0,1.0,43.5,39.5
267.0,1.0,43.5,39.5
268.0,0.0,35.5,39.5
269.0,1.0,43.5,39.5
270.0,0.0,35.5,39.5
271.0,0.0,35.5,39.5
272.0,1.0,43.5,39.5
273.0,1.0,43.5,39.5
274.0,0.0,35.5,39.5
275.0,1.0,43.5,39.5
276.0,0.0,35.5,39.5
277.0,1.0,43.5,39.5
278.0,0.0,35.5,39.5
279.0,1.0,43.5,39.5
280.0,0.0,35.5,39.5
281.0,1.0,43.5,39.5
282.0,1.0,43.5,39.5
283.0,1.0,43.5,39.5
284.0,1.0,43.5,39.5
285.0,0.0,35.5,39.5
286.0,0.0,35.5,39.5
287.0,0.0,35.5,39.5
288.0,0.0,35.5,39.5
289.0,1.0,43.5,39.5
290.0,0.0,35.5,39.5
291.0,0.0,35.5,39.5
292.0,1.0,43.5,39.5
293.0,1.0,43.5,39.5
294.0,1.0,43.5,39.5
295.0,0.0,35.5,39.5
296.0,1.0,43.5,39.5
297.0,0.0,35.5,39.5
298.0,0.0,35.5,39.5
299.0,1.0,43.5,39.5
300.0,1.0,43.5,39.5
301.0,1.0,43.5,39.5
302.0,1.0,43.5,39.5
303.0,1.0,43.5,39.5
304.0,1.0,43.5,39.5
305.0,0.0,35.5,39.5
306.0,0.0,35.5,39.5
307.0,0.0,35.5,39.5
308.0,1.0,43.5,39.5
309.0,1.0,43.5,39.5
310.0,0.0,35.5,39.5
311.0,1.0,43.5,39.5
312.0,0.0,35.5,39.5
313.0,1.0,43.5,39.5
314.0,1.0,43.5,39.5
315.0,1.0,43.5,39.5
316.0,0.0,35.5,39.5
317.0,0.0,35.5,39.5
318.0,1.0,43.5,39.5
319.0,1.0,43.5,39.5
320.0,1.0,43.5,39.5
321.0,0.0,35.5,39.5
322.0,0.0,35.5,39.5
323.0,0.0,35.5,39.5
324.0,1.0,43.5,39.5
325.0,1.0,43.5,39.5
326.0,0.0,35.5,39.5
327.0,1.0,43.5,39.5
328.0,0.0,35.5,39.5
329.0,1.0,43.5,39.5
330.0,1.0,43.5,39.5
331.0,1.0,43.5,39.5
332.0,0.0,35.5,39.5
333.0,1.0,43.5,39.5
334.0,0.0,35.5,39.5
335.0,0.0,35.5,39.5
336.0,0.0,35.5,39.5
337.0,1.0,43.5,39.5
338.0,0.0,35.5,39.5
339.0,1.0,43.5,39.5
340.0,0.0,35.5,39.5
341.0,0.0,35.5,39.5
342.0,0.0,35.5,39.5
343.0,0.0,35.5,39.5
344.0,0.0,35.5,39.5
345.0,0.0,35.5,39.5
346.0,1.0,43.5,39.5
347.0,1.0,43.5,39.5
348.0,1.0,43.5,39.5
349.0,0.0,35.5,39.5
350.0,0.0,35.5,39.5
351.0,0.0,35.5,39.5
352.0,0.0,35.5,39.5
353.0,1.0,43.5,39.5
354.0,1.0,43.5,39.5
355.0,0.0,35.5,39.5
356.0,0.0,35.5,39.5
357.0,1.0,43.5,39.5
358.0,0.0,35.5,39.5
359.0,1.0,43.5,39.5
360.0,1.0,43.5,39.5
361.0,0.0,35.5,39.5
362.0,1.0,43.5,39.5
363.0,0.0,35.5,39.5
364.0,1.0,43.5,39.5
365.0,1.0,43.5,39.5
366.0,0.0,35.5,39.5
367.0,0.0,35.5,39.5
368.0,0.0,35.5,39.5
369.0,1.0,43.5,39.5
370.0,0.0,35.5,39.5
371.0,1.0,43.5,39.5
372.0,1.0,43.5,39.5
373.0,1.0,43.5,39.5
374.0,1.0,43.5,39.5
375.0,0.0,35.5,39.5
376.0,1.0,43.5,39.5
377.0,1.0,43.5,39.5
378.0,1.0,43.5,39.5
379.0,0.0,35.5,39.5
380.0,1.0,43.5,39.5
381.0,0.0,35.5,39.5
382.0,1.0,43.5,39.5
383.0,1.0,43.5,39.5
384.0,0.0,35.5,39.5
385.0,1.0,43.5,39.5
386.0,0.0,35.5,39.5
387.0,1.0,43.5,39.5
388.0,1.0,43.5,39.5
389.0,0.0,35.5,39.5
390.0,0.0,35.5,39.5
391.0,1.0,43.5,39.5
392.0,0.0,35.5,39.5
393.0,0.0,35.5,39.5
394.0,0.0,35.5,39.5
395.0,0.0,35.5,39.5
396.0,0.0,35.5,39.5
397.0,1.0,43.5,39.5
398.0,1.0,43.5,39.5
399.0,0.0,35.5,39.5
400.0,1.0,43.5,39.5
401.0,1.0,43.5,39.5
402.0,0.0,35.5,39.5
403.0,1.0,43.5,39.5
404.0,1.0,43.5,39.5
405.0,1.0,43.5,39.5
406.0,0.0,35.5,39.5
407.0,1.0,43.5,39.5
408.0,0.0,35.5,39.5
409.0,1.0,43.5,39.5
410.0,1.0,43.5,39.5
411.0,1.0,43.5,39.5
412.0,1.0,43.5,39.5
413.0,0.0,35.5,39.5
414.0,1.0,43.5,39.5
415.0,0.0,35.5,39.5
416.0,1.0,43.5,39.5
417.0,1.0,43.5,39.5
418.0,0.0,35.5,39.5
419.0,1.0,43.5,39.5
420.0,0.0,35.5,39.5
421.0,0.0,35.5,39.5
422.0,0.0,35.5,39.5
423.0,1.0,43.5,39.5
424.0,1.0,43.5,39.5
425.0,0.0,35.5,39.5
426.0,0.0,35.5,39.5
427.0,0.0,35.5,39.5
428.0,0.0,35.5,39.5
429.0,0.0,35.5,39.5
430.0,0.0,35.5,39.5
431.0,0.0,35.5,39.5
432.0,1.0,43.5,39.5
433.0,0.0,35.5,39.5
434.0,0.0,35.5,39.5
435.0,0.0,35.5,39.5
436.0,1.0,43.5,39.5
437.0,1.0,43.5,39.5
438.0,0.0,35.5,39.5
439.0,0.0,35.5,39.5
440.0,1.0,43.5,39.5
441.0,1.0,43.5,39.5
442.0,1.0,43.5,39.5
443.0,1.0,43.5,39.5
444.0,1.0,43.5,39.5
445.0,0.0,35.5,39.5
446.0,0.0,35.5,39.5
447.0,0.0,35.5,39.5
448.0,1.0,43.5,39.5
449.0,0.0,35.5,39.5
450.0,0.0,35.5,39.5
451.0,0.0,35.5,39.5
452.0,1.0,43.5,39.5
453.0,1.0,43.5,39.5
454.0,1.0,43.5,39.5
455.0,1.0,43.5,39.5
456.0,1.0,43.5,39.5
457.0,1.0,43.5,39.5
458.0,0.0,35.5,39.5
459.0,0.0,35.5,39.5
460.0,0.0,35.5,39.5
461.0,0.0,35.5,39.5
462.0,0.0,35.5,39.5
463.0,1.0,43.5,39.5
464.0,0.0,35.5,39.5
465.0,0.0,35.5,39.5
466.0,1.0,43.5,39.5
467.0,0.0,35.5,39.5
468.0,1.0,43.5,39.5
469.0,1.0,43.5,39.5
470.0,0.0,35.5,39.5
471.0,0.0,35.5,39.5
472.0,1.0,43.5,39.5
473.0,1.0,43.5,39.5
474.0,0.0,35.5,39.5
475.0,1.0,43.5,39.5
476.0,1.0,43.5,39.5
477.0,1.0,43.5,39.5
478.0,1.0,43.5,39.5
479.0,1.0,43.5,39.5
480.0,0.0,35.5,39.5
481.0,0.0,35.5,39.5
482.0,1.0,43.5,39.5
483.0,1.0,43.5,39.5
484.0,1.0,43.5,39.5
485.0,0.0,35.5,39.5
486.0,1.0,43.5,39.5
487.0,0.0,35.5,39.5
488.0,0.0,35.5,39.5
489.0,0.0,35.5,39.5
490.0,1.0,43.5,39.5
491.0,1.0,43.5,39.5
492.0,0.0,35.5,39.5
493.0,1.0,43.5,39.5
494.0,1.0,43.5,39.5
495.0,1.0,43.5,39.5
496.0,0.0,35.5,39.5
497.0,0.0,35.5,39.5
498.0,0.0,35.5,39.5
499.0,0.0,35.5,39.5
500.0,0.0,35.5,39.5
501.0,0.0,35.5,39.5
502.0,0.0,35.5,39.5
503.0,0.0,35.5,39.5
504.0,0.0,35.5,39.5
505.0,0.0,35.5,39.5
506.0,0.0,35.5,39.5
507.0,1.0,43.5,39.5
508.0,0.0,35.5,39.5
509.0,0.0,35.5,39.5
510.0,0.0,35.5,39.5
511.0,0.0,35.5,39.5
512.0,1.0,43.5,39.5
513.0,0.0,35.5,39.5
514.0,1.0,43.5,39.5
515.0,1.0,43.5,39.5
516.0,1.0,43.5,39.5
517.0,1.0,43.5,39.5
518.0,1.0,43.5,39.5
519.0,0.0,35.5,39.5
520.0,0.0,35.5,39.5
521.0,1.0,43.5,39.5
522.0,0.0,35.5,39.5
523.0,1.0,43.5,39.5
524.0,1.0,43.5,39.5
525.0,1.0,43.5,39.5
526.0,1.0,43.5,39.5
527.0,1.0,43.5,39.5
528.0,0.0,35.5,39.5
529.0,1.0,43.5,39.5
530.0,0.0,35.5,39.5
531.0,1.0,43.5,39.5
532.0,0.0,35.5,39.5
533.0,1.0,43.5,39.5
534.0,1.0,43.5,39.5
535.0,1.0,43.5,39.5
536.0,0.0,35.5,39.5
537.0,1.0,43.5,39.5
538.0,1.0,43.5,39.5
539.0,1.0,43.5,39.5
540.0,0.0,35.5,39.5
541.0,1.0,43.5,39.5
542.0,0.0,35.5,39.5
543.0,0.0,35.5,39.5
544.0,0.0,35.5,39.5
545.0,0.0,35.5,39.5
546.0,1.0,43.5,39.5
547.0,0.0,35.5,39.5
548.0,0.0,35.5,39.5
549.0,1.0,43.5,39.5
550.0,1.0,43.5,39.5
551.0,0.0,35.5,39.5
552.0,0.0,35.5,39.5
553.0,0.0,35.5,39.5
554.0,0.0,35.5,39.5
555.0,1.0,43.5,39.5
556.0,0.0,35.5,39.5
557.0,0.0,35.5,39.5
558.0,1.0,43.5,39.5
559.0,1.0,43.5,39.5
560.0,1.0,43.5,39.5
561.0,1.0,43.5,39.5
562.0,0.0,35.5,39.5
563.0,0.0,35.5,39.5
564.0,1.0,43.5,39.5
565.0,1.0,43.5,39.5
566.0,1.0,43.5,39.5
567.0,1.0,43.5,39.5
568.0,1.0,43.5,39.5
569.0,1.0,43.5,39.5
570.0,0.0,35.5,39.5
571.0,1.0,43.5,39.5
572.0,0.0,35.5,39.5
573.0,0.0,35.5,39.5
574.0,1.0,43.5,39.5
575.0,0.0,35.5,39.5
576.0,1.0,43.5,39.5
577.0,1.0,43.5,39.5
578.0,1.0,43.5,39.5
579.0,0.0,35.5,39.5
580.0,0.0,35.5,39.5
581.0,1.0,43.5,39.5
582.0,1.0,43.5,39.5
583.0,1.0,43.5,39.5
584.0,1.0,43.5,39.5
585.0,1.0,43.5,39.5
586.0,1.0,43.5,39.5
587.0,0.0,35.5,39.5
588.0,1.0,43.5,39.5
589.0,1.0,43.5,39.5
590.0,0.0,35.5,39.5
591.0,1.0,43.5,39.5
592.0,0.0,35.5,39.5
593.0,1.0,43.5,39.5
594.0,0.0,35.5,39.5
595.0,1.0,43.5,39.5
596.0,0.0,35.5,39.5
597.0,1.0,43.5,39.5
598.0,0.0,35.5,39.5
599.0,0.0,35.5,39.5
