x_over_sigma,two_source_signal,single_gaussian_fit,residual
-7.0,3.7266531720812476e-06,0.037738791057149446,-0.037735064403977364
-6.979971387696709,4.118351849622428e-06,0.03838924657655006,-0.038385128224700436
-6.9599427753934195,4.5493956063770884e-06,0.039049001078560845,-0.039044451682954465
-6.939914163090129,5.023538614264246e-06,0.03971814921104436,-0.03971312567243009
-6.919885550786838,5.544872581480275e-06,0.04039678585444516,-0.040391240981863676
-6.8998569384835475,6.117855026126382e-06,0.041085006107033896,-0.04107888825200777
-6.879828326180258,6.747339718818197e-06,0.04178290526984492,-0.0417761579301261
-6.859799713876967,7.4386094423472585e-06,0.0424905788313073,-0.04248314022186495
-6.839771101573676,8.197411224958338e-06,0.04320812245156743,-0.04319992504034247
-6.819742489270387,9.029994212653636e-06,0.04393563194650386,-0.04392660195229121
-6.799713876967096,9.943150355132251e-06,0.044673203271433405,-0.044663260121078276
-6.779685264663805,1.094425808952475e-05,0.045420932504507634,-0.045409988246418106
-6.759656652360515,1.204132921599022e-05,0.04617891582980026,-0.046166874500584265
-6.739628040057225,1.3243059169499424e-05,0.04694724952008471,-0.04693400646091521
-6.719599427753934,1.4558880902736203e-05,0.04772602991930213,-0.04771147103839939
-6.6995708154506435,1.5999022605999592e-05,0.048515353424719486,-0.04849935440211348
-6.679542203147354,1.7574569501279216e-05,0.04931531646877822,-0.049297741899276944
-6.659513590844063,1.9297529959292327e-05,0.050126015500633725,-0.05010671797067443
-6.639484978540772,2.1180906200204296e-05,0.050947546967385425,-0.05092636606118522
-6.619456366237483,2.3238769850993735e-05,0.05178000729499874,-0.051756768525147746
-6.599427753934192,2.5486342644945128e-05,0.052623492868919014,-0.05259800652627407
-6.579399141630901,2.794008256154399e-05,0.05347810001437808,-0.05345015993181654
-6.5593705293276106,3.06177757180881e-05,0.05434392497639459,-0.0543133072006765
-6.539341917024321,3.353863433758345e-05,0.055221063899468764,-0.05518752526513118
-6.51931330472103,3.6723401130944576e-05,0.05610961280697258,-0.05607288940584164
-6.499284692417739,4.019446044512149e-05,0.05700966758023697,-0.05696947311979185
-6.47925608011445,4.397595654251321e-05,0.057921323937336726,-0.05787734798079421
-6.459227467811159,4.809391939083225e-05,0.058844677411575376,-0.05879658349218454
-6.439198855507868,5.257639835644104e-05,0.05977982332967028,-0.059727246931313836
-6.419170243204578,5.745360420801913e-05,0.060726856789641216,-0.0606694031854332
-6.399141630901288,6.275805985119914e-05,0.06168587263840292,-0.06162311457855172
-6.379113018597997,6.85247602284622e-05,0.06265696544906435,-0.06258844068883589
-6.3590844062947065,7.479134183205433e-05,0.06364022949793631,-0.06356543815610426
-6.339055793991417,8.159826229090857e-05,0.06463575874124979,-0.06455416047895887
-6.319027181688126,8.898899050544414e-05,0.06564364679158766,-0.06555465780108222
-6.298998569384835,9.701020781660332e-05,0.06666398689403125,-0.06656697668621464
-6.278969957081545,0.00010571202070749166,0.06769687190202549,-0.067591159881318
-6.258941344778255,0.00011514818554740278,0.06874239425296513,-0.06862724606741773
-6.238912732474964,0.00012537634589876047,0.06980064594350452,-0.06967526959760575
-6.218884120171674,0.0001364582829174792,0.07087171850459378,-0.07073526022167631
-6.198855507868384,0.0001484601793863427,0.07195570297624564,-0.0718072427968593
-6.178826895565093,0.00016145289792908712,0.0730526898820352,-0.07289123698410611
-6.1587982832618025,0.0001755122739598535,0.07416276920333653,-0.07398725692937667
-6.138769670958512,0.00019071942392842972,0.0752860303532995,-0.07509531092937108
-6.118741058655222,0.0002071610694260491,0.07642256215057083,-0.07621540108114479
-6.098712446351931,0.0002249298777193998,0.07757245279276329,-0.07734752291504389
