x_lambda_over_NA,PSF_1,PSF_2,sum
-1.4,0.00017807868264890856,0.001602767951650168,0.0017808466342990764
-1.39825,0.00019057750990046328,0.0015697716280095927,0.0017603491379100558
-1.3964999999999999,0.0002034966262109696,0.0015366032535732521,0.0017400998797842215
-1.39475,0.00021683408108448836,0.0015032809951951009,0.0017201150762795891
-1.393,0.00023058771903446094,0.0014698232691805163,0.0017004109882149774
-1.3912499999999999,0.00024475517925159413,0.0014362487352003878,0.001681003914451982
-1.3895,0.0002593338953638308,0.0014025762900489538,0.0016619101854127847
-1.3877499999999998,0.0002743210952890686,0.00136882506124677,0.0016431461565358384
-1.386,0.0002897138011813043,0.0013350144004904518,0.001624728201671756
-1.38425,0.00030550882947083893,0.0013011638769505924,0.0016066727064214313
-1.3824999999999998,0.0003217027909991485,0.00126729327041967,0.0015889960614188185
-1.38075,0.0003382920912489223,0.0012334225643115865,0.0015717146555605088
-1.379,0.0003552729306698955,0.0011995719385146316,0.0015548448691845272
-1.3772499999999999,0.00037264130510081717,0.0011657617620998084,0.0015384030672006257
-1.3755,0.0003903930062881081,0.0011320125858864315,0.00152240559217454
-1.3737499999999998,0.0004085236225015448,0.0010983451348670064,0.0015068687573685513
-1.3719999999999999,0.0004270285392473475,0.0010647803004935656,0.0014918088397409132
-1.37025,0.00044590294007898777,0.0010313391328275114,0.0014772420729064991
-1.3684999999999998,0.00046514180750601244,0.000998042832555344,0.0014631846400613565
-1.36675,0.00048473992400105,0.0009649127428724882,0.001449652666873538
-1.365,0.0005046918731053254,0.000931970341237662,0.0014366622143429874
-1.3632499999999999,0.0005249920406326742,0.0008992372310002211,0.0014242292716328952
-1.3615,0.0005456346159722995,0.0008667351329030571,0.0014123697488753566
-1.35975,0.0005666135934902641,0.0008344858764635639,0.001401099469953828
-1.3579999999999999,0.000587922774029767,0.0008025113912354468,0.0013904341652652137
-1.35625,0.0006095557665101801,0.0007708336979540713,0.0013803894644642514
-1.3544999999999998,0.0006315059896247826,0.0007394748995681085,0.0013709808891928911
-1.35275,0.0006537666736370883,0.0007084571721604885,0.0013622238457975766
-1.351,0.000676330862275603,0.0006778027557614567,0.0013541336180370597
-1.3492499999999998,0.0006991914147268589,0.0006475339450568708,0.00134672535978373
-1.3475,0.0007223410077263826,0.0006176730799947738,0.0013400140877211563
-1.34575,0.0007457721377474859,0.0005882425362933369,0.0013340146740408228
-1.3439999999999999,0.0007694771232873532,0.0005592647158534831,0.0013287418391408363
-1.34225,0.0007934481072502032,0.0005307620370794141,0.0013242101443296174
-1.3405,0.0008176770594270303,0.0005027569251103357,0.0013204339845373661
-1.3387499999999999,0.0008421557790715018,0.0004752718019668786,0.0013174275810383805
-1.337,0.0008668758975714216,0.0004483290766156155,0.001315204974187037
-1.3352499999999998,0.0008918288812153718,0.00042195113495517084,0.0013137800161705426
-1.3335,0.0009170060340536972,0.0003961603297276028,0.0013131663637813
-1.33175,0.0009423985008534467,0.0003709789703585734,0.00131337747121202
-1.3299999999999998,0.0009679972701463449,0.0003464293127301125,0.0013144265828764574
-1.32825,0.000993793177369233,0.0003225335488896801,0.001316326726258913
-1.3265,0.0010197769080960972,0.0002993137966993083,0.0013190907047954054
-1.3247499999999999,0.0010459390013609288,0.0002767920894287654,0.001322731090789694
-1.323,0.0010722698530704355,0.0002549903652965842,0.0013272602183670196
-1.32125,0.0010987597195058697,0.00023393045696296625,0.0013326901764688362
