r_lambda_over_NA,Airy,Gaussian
0.0,1.0,1.0
0.0021571648690292757,0.9999540740538317,0.9999512610826093
0.004314329738058551,0.9998163067611309,0.9998050585828665
0.0064714946070878274,0.9995867297559082,0.9995614352511135
0.008628659476117103,0.9992653957502208,0.9992204623147715
0.010785824345146378,0.9988523785172252,0.9987822394436342
0.012942989214175655,0.9983477728674597,0.9982468947013126
0.01510015408320493,0.9977516946183775,0.9976145844828619
0.017257318952234205,0.9970642805571249,0.9968854934386366
0.01941448382126348,0.9962856883965848,0.9960598343844218
0.021571648690292756,0.9954160967247111,0.9951378481979047
0.02372881355932203,0.9944557049471581,0.9941198037015566
0.02588597842835131,0.9934047332232391,0.9930059975320031
0.028043143297380585,0.9922634223952366,0.991796753995974
0.03020030816640986,0.9910320339110866,0.9904924249129285
0.032357473035439135,0.9897108497404683,0.9890933894444646
0.03451463790446841,0.9883001722843413,0.9876000539106269
0.036671802773497686,0.9868003242779451,0.9860128515932387
0.03882896764252696,0.9852116486873185,0.9843322425263901
0.040986132511556236,0.9835345085993719,0.9825587132742261
0.04314329738058551,0.981769287105543,0.9806927766961822
0.04530046224961479,0.9799163871791013,0.9787349716998291
0.04745762711864406,0.9779762315461334,0.976685862981491
0.04961479198767334,0.9759492625502653,0.9745460407548121
0.05177195685670262,0.9738359420111684,0.9723161204674567
0.053929121725731895,0.9716367510769132,0.9699967425061302
0.05608628659476117,0.9693521900702158,0.9675885718901196
0.058243451463790445,0.9669827783286443,0.9650922979535607
0.06040061633281972,0.964529054038844,0.9625086340166416
0.06255778120184899,0.9619915740648455,0.9598383170459647
0.06471494607087827,0.9593709137705172,0.9570821073042913
0.06687211093990754,0.9566676668362412,0.9542407879899035
0.06902927580893682,0.953882445069868,0.9513151648658213
0.0711864406779661,0.9510158782120376,0.9483060658791225
0.07334360554699537,0.9480686137359248,0.9452143407706146
0.07550077041602465,0.9450413166415079,0.9420408606751189
0.07765793528505392,0.9419346692444106,0.9387865177126276
0.0798151001540832,0.9387493709594283,0.9354522245706033
0.08197226502311247,0.9354861380787947,0.932038914077695
0.08412942989214175,0.9321457035452929,0.9285475387691486
0.08628659476117102,0.9287288167202887,0.9249790704441945
0.0884437596302003,0.9252362431467708,0.9213344997157007
0.09060092449922957,0.9216687643075012,0.9176148355523842
0.09275808936825886,0.9180271773783552,0.913821104813874
0.09491525423728812,0.9143122949769459,0.9099543517789271
0.0970724191063174,0.9105249449066436,0.9060156376671008
0.09922958397534667,0.9066659698960663,0.9020060401541854
0.10138674884437596,0.902736227334152,0.8979266528817094
0.10354391371340524,0.8987365890009165,0.8937785849608257
0.10570107858243451,0.894667940793988,0.8895629604708973
0.10785824345146379,0.8905311824510324,0.8852809179530942
0.11001540832049306,0.8863272272681647,0.8809336098993245
0.11217257318952234,0.8820570018144641,0.8765222022368168
0.11432973805855161,0.8777214456426914,0.8720478738086777
0.11648690292758089,0.8733215109963198,0.8675118158507448
0.11864406779661016,0.8688581625129945,0.8629152314650614
0.12080123266563944,0.8643323769245277,0.8582593350902961
0.12295839753466871,0.8597451427535403,0.8535453519694312
0.12511556240369798,0.8550974600068758,0.8487745176150467
0.12727272727272726,0.8503903398658829,0.8439480772725242
0.12942989214175654,0.845624804373703,0.8390672853814934
